2026-02-25 16:29:38,734 [INFO] - Logging configured.
2026-02-25 16:29:38,736 [INFO] - Initializing pipeline components...
2026-02-25 16:29:38,986 [INFO] - No checkpoint file found. Starting a new run.
2026-02-25 16:30:23,093 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:30:23,474 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:30:23,857 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:30:24,221 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:30:24,611 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:30:24,991 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:30:25,414 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:30:25,811 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:30:26,191 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:30:26,543 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:30:26,943 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:30:27,341 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:30:27,692 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:30:28,151 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:30:28,550 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:30:28,926 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:30:29,288 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:30:29,677 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:30:30,071 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:30:30,506 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:30:30,905 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:30:31,275 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:30:31,646 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:30:32,031 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:30:32,415 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:30:32,815 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:30:33,201 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:30:33,821 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:30:34,267 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:30:34,701 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:30:35,154 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:30:35,691 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:30:36,177 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:30:36,705 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:30:37,213 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
