Close,High,Low,Open,Volume,macd_hist,coppock,sma20,psar,hurst,roc,rsi,bbup,bblow,tenkan,kijun,senkouspan a,senkouspan b,rsi ewma,supertrend,adx,positive adx,negative adx,aroon,williamsr,cmo,cci,rvi,rvi signal,kama,ema cross,fisher,frama,tema,bull power,bear power
1108.47998046875,1118.8499755859375,1105.0799560546875,1111.9200439453125,1153200000,0.0,,,1108.47998046875,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,1108.47998046875,10.3699951171875,-3.4000244140625
1122.219970703125,1122.219970703125,1108.47998046875,1108.47998046875,1578200000,0.8768540776354712,,,1122.219970703125,,0.012395343602475073,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,1.189609544101586,,,1112.0436837991645,11.77713448660711,-1.9628557477678896
1123.6700439453125,1124.4599609375,1118.43994140625,1122.219970703125,1494500000,1.47102484519728,,,1118.8499755859375,,0.0012921470656763745,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,2.1751777636197858,,,1115.327295836268,12.12752361686853,6.10750408561853
1126.3299560546875,1126.3299560546875,1116.449951171875,1123.6700439453125,1704900000,1.9307241039541987,,,1118.43994140625,,0.002367164741738481,,,,,,,,,,0.0,0.0,0.0,,,,,0.46857614364749783,,0.0,3.097384242713588,,,1118.6777379789141,11.997873200619324,2.117868317806824
1131.9200439453125,1131.9200439453125,1124.9100341796875,1126.3299560546875,1868400000,2.464637493533366,,,1118.43994140625,,0.0049630997209786365,,,,,,,,,,0.0,0.0,0.0,,,,,0.5242630490836024,,0.0,4.210412505772638,,,1122.8266816416165,15.075395221066628,8.065385455441628
1121.8599853515625,1131.9200439453125,1120.9000244140625,1131.9200439453125,1720700000,2.0127050459840623,,,1116.449951171875,,-0.008887605310606284,,,,,,,,,,0.0,0.0,0.0,,,,,0.1552539164773082,,0.0,4.090434198781395,,,1123.552466574896,14.358918560021266,3.338899028771266
1127.22998046875,1127.8499755859375,1120.9000244140625,1121.8599853515625,1510200000,1.946677190898412,,,1117.0687548828125,,0.004786689236896846,,,,,,,,,,0.0,0.0,0.0,,,,,-0.017206162368011077,0.301733985400218,0.0,4.395723701175939,,,1125.4686784994708,8.907585188723488,1.9576340168484876
1121.219970703125,1129.0699462890625,1115.18994140625,1127.22998046875,1595900000,1.3953059504795409,,,1131.9200439453125,,-0.00533166245554062,,,,,,,,,,0.0,0.0,0.0,,,,,-0.17244512416469945,0.10465223885624954,0.0,4.025253635341414,,,1125.4044941659747,9.802187276718314,-4.077817606094186
1130.52001953125,1130.75,1121.219970703125,1121.219970703125,1514600000,1.5425066581798443,,,1131.5854418945312,,0.008294580074499347,,,,1118.5,,,,,,0.0,0.0,0.0,,,,,-0.032792804106556994,-0.04280691011577831,0.0,4.486507231720225,,,1127.6893576478742,9.87477519924073,0.3447459023657302
1132.050048828125,1137.1099853515625,1124.5400390625,1130.52001953125,1695000000,1.6204620460454962,,,1115.18994140625,,0.0013533854071061668,,,,1122.7949829101562,,,,,,0.0,0.0,0.0,,,,,0.20319730907873115,-0.0374141183052988,0.0,4.882736331250044,0.34282825441539394,,1129.879929054244,14.638357118322347,2.0684108292598467
1139.8299560546875,1139.8299560546875,1132.050048828125,1132.050048828125,1721100000,2.046088506526183,,,1115.6283422851564,,0.0068724057161748675,,,,1127.5099487304688,,,,,,0.0,0.0,0.0,,,,,0.35575618508166457,0.08735334514355224,0.0,5.765084275950585,0.7913738721291064,,1133.6067201411454,14.878566704097693,7.098659477535193
1138.77001953125,1142.9300537109375,1135.4000244140625,1139.8299560546875,1698200000,2.0985147912152513,,,1116.5964068359376,,-0.0009299075864844797,,,,1129.0599975585938,,,,,,0.0,0.0,0.0,,,,,0.46502933418997056,0.2583572530673675,0.0,6.226653241194072,1.2614929493509068,,1136.287182256827,16.00457433453903,8.47454503766403
1147.6199951171875,1149.2099609375,1134.6199951171875,1138.77001953125,1757600000,2.5419226630971705,,,1118.1764256484375,,0.0077715214083178275,,,,1132.199951171875,,,,,,0.0,0.0,0.0,,,,,0.41225397818022025,0.37617038763370364,0.0,7.226744980633839,1.7251749834508021,,1140.6698328070715,19.328122169560174,4.738156349247674
1143.93994140625,1150.510009765625,1143.010009765625,1147.6199951171875,1693700000,2.4017152926978635,,,1120.6591084715626,,-0.003206683158706869,71.77859475972946,,,1132.8499755859375,,,,100.0,,0.0,0.0,0.0,,-14.46194275089141,46.00405422526289,,0.3306445824027302,0.4068278987041294,1129.6899937220983,7.523314821771919,2.175408580679788,,1143.1831463643864,18.61987062078356,11.119870620783558
