Date,Close,High,Low,Open,Volume,ADX_35,ADX_75,MACD_12_26,MACD_20_75,PLUS_DI_15,PLUS_DI_141,MINUS_DI_17,MINUS_DI_130,CMO_10,CMO_13,RSI_12,RSI_13,CCI_45,CCI_98,ROC_24,ROC_118,BOP,MOM_48,MOM_123,STOCH1_K,STOCH2_K,STOCHRSI_45,STOCHRSI_140,PPO_12_14,PPO_21_23,TRIX_7,TRIX_140,ULTOSC_1,ULTOSC_2,ATR_18,ATR_99,NATR_11,NATR_78,TRANGE,BETA_48,BETA_123,CORREL_8,CORREL_105,SLOPE_63,SLOPE_123,STDDEV_11,STDDEV_136,TSF_81,TSF_107,CDL3OUTSIDE,CDLHARAMI,CDLHIKKAKE,CDLRICKSHAWMAN,AD,ADOSC_48_71,ADOSC_27_73,OBV_SLOPE_22,OBV_SLOPE_113
2004-08-02 04:00:00+00:00,1106.6199951171875,1108.5999755859375,1097.3399658203125,1101.719970703125,1276000000,-0.47602977327791884,-1.3389710073767962,-0.7667158316481458,-1.533676536951066,-0.19150666645915598,-1.537342094996931,-1.2130520667151032,0.5428309513249471,0.46460833640126153,0.2672407362731705,0.3242749413894833,0.2672407361342282,-0.38021929015177425,-0.5369675410869665,-0.5912643168108759,-1.8921183351739495,0.6877263950275307,1.1151234744278435,-1.4573120595625586,-0.40984903275058365,-0.6793319835467684,1.5301436885642952,0.004904047814024676,-0.48781083093795385,-1.2998539865752299,-0.32352863277860755,-2.018548036848448,1.0550944587614919,0.022428900444949804,-0.817549678966709,-1.5587133118493266,-0.43771637747223113,-0.5514315108713366,-0.13688899587714276,-0.1725210697281122,-0.9199432265194871,0.0,-1.110582979652085,0.3053885499277984,-1.2460238996381614,-0.7752797262758591,-1.2410985783241577,0.29168505361379654,0.5111154449590541,0.0,0.0,-0.12833355335674737,-0.36742346130497666,0.6183138507420165,-1.7362142508456924,-1.8495441167187086,-0.38748095094591856,0.0831941926024432
2004-08-03 04:00:00+00:00,1099.68994140625,1106.6199951171875,1099.260009765625,1106.6199951171875,1338300000,-0.48369068267645354,-1.3345721746668413,-0.6871179660978698,-1.5489327450506767,-0.35994664983239155,-1.6187433311471324,-1.385830873384574,0.4133265326751104,-0.13142597581773383,-0.26783790287009906,-0.22626020819072243,-0.267837902730138,-0.46195023466071156,-0.6499739153409587,-0.8933152504437869,-1.8673131045409457,-1.6273524904961545,0.6927679106270238,-1.6102162970456564,-0.2673755880344245,-0.6114387660539754,0.7663218951640102,-0.42263905682178493,-0.19031450469267905,-0.9556209572557738,-0.13568210009810086,-2.011156740202843,1.1321432169385406,-0.24030541088534607,-1.0240539265850261,-1.7144159480716177,-0.6350559135919099,-0.5095527471318152,-0.973366980844066,-0.1645702068060962,-0.9101812961169466,0.0,-1.0989770973392916,0.31991222934980923,-1.238086088580124,-0.7816175514689895,-1.2125772003657094,-0.01782031740247006,0.22717997085723357,0.0,0.0,-0.12833355335674737,-0.36742346130497666,0.07847767847116817,-1.7357070413378357,-1.83636148996359,-0.1886332257488729,0.13641596428437397
2004-08-04 04:00:00+00:00,1098.6300048828125,1102.449951171875,1092.4000244140625,1099.68994140625,1369200000,-0.46024435247278206,-1.3206239976906715,-0.6298196789450583,-1.5594729513258079,-0.5834617055723463,-1.7325670327440994,-0.6896272964262127,0.7409161572782772,-0.23691211050132718,-0.3651222323016253,-0.3257983278025021,-0.3651222321078345,-0.6407002953501473,-0.8682155987658933,-1.0610956129296982,-1.7269244589164978,-0.23656470092554147,-0.22366602548799452,-1.8768974428142873,-0.06680879253156204,-0.570732307233942,0.6375116799148209,-0.4982377503541704,-0.024729138662868612,-0.6669103879240443,-0.020706214473329276,-2.0041447178189493,1.3667392403737533,0.004707204563443577,-1.0549364860095598,-1.7410918441209227,-0.6650215262271513,-0.5285342820786991,-0.36343446526512224,0.15069666317138525,-1.0845130594024468,0.0,-1.1815053463900844,0.33792791811850953,-1.2204168730772,-1.0100958364603285,-1.183545531869733,-0.07631244051370437,0.17611354393259687,0.0,0.0,1.9503510939792739,2.57398224769796,0.2096028696464923,-1.7263228082413813,-1.8070656706910353,-0.10884718885004703,0.1650514901040849
2004-08-05 04:00:00+00:00,1080.699951171875,1098.7900390625,1079.97998046875,1098.6300048828125,1397400000,-0.3822675892908117,-1.290214795904234,-0.8279609793580214,-1.7116960082540313,-0.9548585260534226,-1.9629764309710616,0.4296978534738325,1.319582302007895,-1.345157548591744,-1.4348677875313391,-1.4047027990352534,-1.4348677867754724,-1.138194674625583,-1.491720552094707,-1.2538647380295662,-2.184531995338106,-1.6443529759869482,-1.1757357865923164,-2.1171058842333217,-0.08501585261152114,-0.8039086809558427,-1.181000014412897,-1.289351101254597,-0.37631549991287633,-0.5758424153686408,-0.12291824081478021,-1.9980078591175523,0.03414484801958169,-0.436383738958556,-0.5923015433441575,-1.4107283157026038,0.015915667066891098,0.3093627852695949,1.573864747220936,0.22103032229925018,-0.9193876021744362,0.0,-1.0484156881280002,0.2791429206188816,-1.2181560195648309,-0.6184409255413194,-1.1408179508705336,-0.8510989022787119,-0.5272581982315631,0.0,0.0,-0.14680061997693458,-0.3846180370123388,-0.39156271184577707,-1.7434050352157642,-1.8260486095262398,-0.1553876913443106,0.1658714873977114
2004-08-06 04:00:00+00:00,1063.969970703125,1080.699951171875,1062.22998046875,1080.699951171875,1521000000,-0.23320059580396377,-1.2378992000064655,-1.2019656857717453,-1.9699565821398632,-1.263574322634798,-2.1625242823788353,2.05007729972642,2.229284440634247,-1.9468751210589188,-2.07942773170958,-2.036382475024414,-2.079427730627712,-1.8326848969003962,-2.3356590533851183,-1.6587885967803377,-2.3179431367478425,-1.565451129892799,-2.233694744346641,-2.4689191394030203,-0.21712044890606996,-1.063487714477578,-1.181000014412897,-1.289351101254597,-0.31489992579486725,-0.5056887397035493,-0.4585942086040558,-1.9931225550405116,-1.2083411457899376,-0.5946983989805952,-0.17655854646765265,-1.107826197741811,0.6339337573344456,1.1139153270434523,1.4898926512441701,0.5689531551944063,-0.9049610559564611,0.0,-0.6086074248475215,0.08698158773302972,-1.2235239161080058,0.48692912556222123,-1.069270131503546,-1.5760013529039065,-1.1753016959362281,0.0,0.0,-0.12833355335674737,-0.3846180370123388,-0.9816608978673608,-1.782627347089748,-1.8838983839998729,-0.20233371584172719,0.16353969697173773
2004-08-09 04:00:00+00:00,1065.219970703125,1069.4599609375,1063.969970703125,1063.969970703125,1086000000,-0.07853728100362514,-1.186563537638741,-1.4490485170193672,-2.1605702518345136,-1.3480057901553069,-2.1643559556298486,1.7776142546550542,2.0756697931931205,-1.794901929358894,-1.926713466976592,-1.8844802484724168,-1.9267134659885696,-1.773104732774036,-2.2816888695458863,-1.3250675667341487,-2.1511398397852775,0.3696227196475476,-2.077406665685506,-2.5673075032882577,-0.3587847947243554,-1.3701052035459855,-1.0784011387745494,-1.2290855170277921,-0.12157815908752355,-0.47902674662424133,-0.821066374461113,-1.9892840787293957,-1.2725940842892336,-0.7158894901843348,-0.5172884544595912,-1.3413691428838035,0.17468229628985177,0.8204453677093044,-1.3545014534937505,0.5559770910200946,-0.8892493471597007,0.0,-0.6287629483146642,-0.20262296867287108,-1.2181494060278608,1.1561160189368094,-1.0021260135440766,-1.4522196997595953,-1.0890315391903362,0.0,0.0,-0.12833355335674737,-0.3846180370123388,-1.266489196266789,-1.8284632491206387,-1.9514176975749964,-0.25440004862475607,0.1835744516030427
2004-08-10 04:00:00+00:00,1079.0400390625,1079.0400390625,1065.219970703125,1065.219970703125,1245600000,0.017742868383295265,-1.1519106857260755,-1.4208370390293412,-2.1899980016578353,-0.4091710546073252,-1.6632432553845145,1.1997337718124823,1.8089370449883058,-0.6153867065544506,-0.7896987935254517,-0.7355794555271643,-0.7896987931217048,-1.273868956970834,-1.7129177114913456,-0.9432278548666475,-1.8210444012895528,1.6798486890220756,-1.4214140010225609,-2.121289152485071,-0.45021924953322784,-1.453309929873307,-0.022445380665098064,-0.6244143987138384,0.06460120982119374,-0.6930093437540176,-0.9878392766123275,-1.9859553820334446,-0.6936966129664822,-0.5278684235817427,-0.36593381053104723,-1.229364346919268,0.2266924900356878,0.45338559604298806,0.47347595080224886,0.23448890993092578,-0.8668729507942403,0.0,-1.0020062014552729,-0.5071546557351825,-1.2061942478157275,1.276330728391311,-0.9719269690258935,-0.7492706049264709,-0.49085333127890496,0.0,0.0,-2.356725806790925,-0.3846180370123388,-0.6889699035994432,-1.8412970277124703,-1.9576318477965966,-0.18646843152001064,0.23067497474729798
2004-08-11 04:00:00+00:00,1075.7900390625,1079.0400390625,1065.9200439453125,1079.0400390625,1410400000,0.11625268586270385,-1.117944433776249,-1.4189951990054641,-2.2254869257742174,-0.6699882932895644,-1.8011282486054625,0.7042627101999698,1.5701017110877515,-0.7634967915665887,-0.9311157520343026,-0.8787506184806108,-0.9311157515602096,-1.211770527441195,-1.665733608869893,-0.7587893274072852,-1.7882372669865134,-0.44015619457317806,-1.7042704074794985,-2.0029764739791234,-0.5987160275841381,-1.5440045844050942,-0.21402411895861834,-0.7600953569646416,0.3960500677582559,-0.843938808808071,-1.0565894088555283,-1.9831517430576644,-0.5394526386514442,0.24099113616398188,-0.26339119228259483,-1.149886599264022,0.3533315234723792,0.6101655616690954,0.31784273874050445,0.1590173069317303,-0.8636092501804781,0.0,-1.3312515963848297,-0.8035391565922022,-1.2011699466280463,1.4301786103286673,-0.9285920165880677,-0.851366041867818,-0.5931351121726739,0.0,0.0,-0.06864249922692016,-0.3846180370123388,-0.3592786940238203,-1.83581949254509,-1.9314224676665461,-0.12380836100748122,0.27963888978665774
2004-08-12 04:00:00+00:00,1063.22998046875,1075.7900390625,1062.8199462890625,1075.7900390625,1405100000,0.23080101069374304,-1.0804251362383033,-1.5637644644820545,-2.335678633577153,-0.9050447434389297,-1.924280940519436,0.6367862725017052,1.5521530768228498,-1.2791785118072803,-1.4404926694796114,-1.388953706719938,-1.4404926687517345,-1.3630255185215483,-1.8699421204287288,-1.2666120958191505,-1.9358789084478643,-1.6648387404064497,-1.8450990196115225,-2.349511357808517,-0.9057068879268403,-1.5444432399059653,-0.9266324801884404,-1.269433563633761,-0.03856567632846956,-0.8824159266450016,-1.1752654690275444,-1.9811357111556014,-0.8376999979273657,-0.39120962951388216,-0.17510061087793685,-1.0790513027087245,0.5399290581012104,1.0624137876104165,0.28511261068745286,-0.006720842159471607,-0.8102408361686745,0.0,-0.8111155659341325,-1.1748953371906632,-1.196605661167122,1.833780719296764,-0.8587492395570796,-1.3958038656570435,-1.061758522002429,0.0,0.0,-4.242640686219285,-0.3846180370123388,-0.9902929434997991,-1.8564743990982384,-1.9529752755381455,-0.0521897010300193,0.3005363177242927
2004-08-13 04:00:00+00:00,1064.800048828125,1067.5799560546875,1060.719970703125,1063.22998046875,1175100000,0.358891896332466,-1.0403354147595438,-1.6312817493861504,-2.389102007838706,-1.0247163300846815,-1.9566164860373096,0.6812090884213015,1.552030771256556,-1.1517156957568206,-1.3159853819426999,-1.2639661331579686,-1.315985381278177,-1.3969424967875308,-1.8976611433533062,-1.2722862080639585,-1.9262185748081793,0.3565832616975744,-1.992653916115381,-2.152778044975877,-1.1009881520042557,-1.5100227878862205,-0.7331724604998073,-1.2004651499033518,-0.562300715121709,-0.7662938913713916,-1.2617705779678063,-1.9797318380682765,-0.9792398110344125,-0.09016568531386975,-0.4311503372807896,-1.2477552852700782,0.19033827169986878,0.8221000963351657,-1.038732168698546,-0.0968297274001854,-0.7972763057725661,0.0,-1.1672961853482466,-1.5351074928066848,-1.1937774000091792,1.8615107574343233,-0.795943371675751,-1.2903172979579258,-0.945201257698287,0.0,0.0,0.0,-0.3846180370123388,-0.9039945680585241,-1.8666953856698447,-1.9557482161438111,0.023092938256348856,0.3473763505608124
